Index,FileName,ParentFolders,UUID,DownloadLink,Status
338,"22. Tìm hiểu về parameters.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","5fa6a0f3dc6988a9ee2b188763d8791d","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/5fa6a0f3dc6988a9ee2b188763d8791d/downloads/default.mp4","Upload & lấy link thành công"
339,"23. Gộp dữ liệu Cấu trúc union all.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","00934ac56b9fc82e9be8d3299e91679c","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/00934ac56b9fc82e9be8d3299e91679c/downloads/default.mp4","Upload & lấy link thành công"
340,"24. Gộp dữ liệu cấu trúc union.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","0284bc179d00eaddaf5085006312f861","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/0284bc179d00eaddaf5085006312f861/downloads/default.mp4","Upload & lấy link thành công"
341,"25. Truy vấn lồng nhau tạo ra bảng biểu mới.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","f1a441dea9c930578b7d464438e4a236","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/f1a441dea9c930578b7d464438e4a236/downloads/default.mp4","Upload & lấy link thành công"
342,"26. Tổng hợp dữ liệu từ truy vấn lồng nhau.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","3f0ec02268bea86c2f59b0a39f735ded","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/3f0ec02268bea86c2f59b0a39f735ded/downloads/default.mp4","Upload & lấy link thành công"
343,"27. Crosstab tổng hợp dữ liệu.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","565e92c8f814146079177198148c7abc","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/565e92c8f814146079177198148c7abc/downloads/default.mp4","Upload & lấy link thành công"
344,"28. Thêm dữ liệu.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","16f987a8cc2f2384fde3e9badbede6cd","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/16f987a8cc2f2384fde3e9badbede6cd/downloads/default.mp4","Upload & lấy link thành công"
345,"29. Thêm dữ liệu bằng parameters.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","9a831b62bb7332368eaf4b3519500618","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/9a831b62bb7332368eaf4b3519500618/downloads/default.mp4","Upload & lấy link thành công"
346,"30. Thêm dữ liệu hàng loạt.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","ef396b54eb82f0ea2d38dfd7ab077dbd","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/ef396b54eb82f0ea2d38dfd7ab077dbd/downloads/default.mp4","Upload & lấy link thành công"
347,"31. Sửa dữ liệu.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","f7a753f257075834ae84a83732eac74a","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/f7a753f257075834ae84a83732eac74a/downloads/default.mp4","Upload & lấy link thành công"
348,"32. Sửa dữ liệu hàng loạt.mp4","01. Tin học văn phòng/64. MS Access Truy vấn, Query trong Access","40f3e2960ac32c5da67f79d7b002ac81","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/40f3e2960ac32c5da67f79d7b002ac81/downloads/default.mp4","Upload & lấy link thành công"
349,"4. 03. Lập trình cho Userform thêm mới hàng hóa - Tạo số thứ tự tự động.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","da2dab5cc001841733b925c2d8ef1869","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/da2dab5cc001841733b925c2d8ef1869/downloads/default.mp4","Upload & lấy link thành công"
350,"8. 07. Lập trình lệnh thông tin từ Userform sửa dữ liệu vào Sheet Danh mục tại vị trí đã lấy ra để sửa.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","582983b2be628a79bdf8c33b7e078d82","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/582983b2be628a79bdf8c33b7e078d82/downloads/default.mp4","Upload & lấy link thành công"
351,"9. 08. Tạo lệnh xóa Mã hàng có yêu cầu xác nhận bằng msgbox trước khi xóa.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","79eca71a52f0a7a6d8000d7d3ecc401f","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/79eca71a52f0a7a6d8000d7d3ecc401f/downloads/default.mp4","Upload & lấy link thành công"
352,"2. 01. Tạo Userform thêm mới hàng hóa.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","e9f81bf11a12490ac790637fbe62a893","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/e9f81bf11a12490ac790637fbe62a893/downloads/default.mp4","Upload & lấy link thành công"
353,"7. 06. Tạo Userform lấy thông tin 1 mã hàng ra để sửa.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","b7486761a3cdf4f3d2968d0f6c60da25","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/b7486761a3cdf4f3d2968d0f6c60da25/downloads/default.mp4","Upload & lấy link thành công"
354,"6. 05. Tạo ô tìm kiếm nhanh mã hàng trong bảng danh mục HTK.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","39efcd8c35fe6713cbaf86fb07364a79","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/39efcd8c35fe6713cbaf86fb07364a79/downloads/default.mp4","Upload & lấy link thành công"
355,"3. 02. Lập trình cho Userform thêm mới hàng hóa - Các thiết lâp cơ bản khi tạo Userform.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","d215c0ec1b60e80612fc6824c8711831","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/d215c0ec1b60e80612fc6824c8711831/downloads/default.mp4","Upload & lấy link thành công"
356,"5. 04. Lập trình lệnh lưu nội dung từ Userform vào Worksheet Danh mục hàng hóa.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","75fae2ef3529b7c96a6c424d3bc95417","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/75fae2ef3529b7c96a6c424d3bc95417/downloads/default.mp4","Upload & lấy link thành công"
357,"10. 09. Tạo lệnh tự động định dạng lại toan bộ bảng danh mục hàng tồn kho.mp4","01. Tin học văn phòng/29. VBAG03 (Nâng cao) - Code mẫu và các chuyên đề ứng dụng VBA/Chương 2. Ứng dụng VBA trong việc quản lý Danh mục hàng tồn kho","65605779071e1c3cd222338881783d28","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/65605779071e1c3cd222338881783d28/downloads/default.mp4","Upload & lấy link thành công"
358,"3. 1.2. Phần cứng.mp4","01. Tin học văn phòng/47. Chinh phục kỳ thi công chức, viên chức, thăng hạng - nâng ngạch môn Tin học","fd621c19a60ca8d511314e72e6f8b404","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/fd621c19a60ca8d511314e72e6f8b404/downloads/default.mp4","Upload & lấy link thành công"
359,"10. 1.9. Tổng kết chương 1.mp4","01. Tin học văn phòng/47. Chinh phục kỳ thi công chức, viên chức, thăng hạng - nâng ngạch môn Tin học","5ee8cbe226de511fd3f43ece5ee4e81f","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/5ee8cbe226de511fd3f43ece5ee4e81f/downloads/default.mp4","Upload & lấy link thành công"
360,"15. 2.4. Một số phần mềm tiện ích.mp4","01. Tin học văn phòng/47. Chinh phục kỳ thi công chức, viên chức, thăng hạng - nâng ngạch môn Tin học","0c454f059d2630d19d90f9bdc2725552","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/0c454f059d2630d19d90f9bdc2725552/downloads/default.mp4","Upload & lấy link thành công"
